,0
0,nospam
1,nospam
2,nospam
3,nospam
4,nospam
5,nospam
6,nospam
7,nospam
8,nospam
9,nospam
10,nospam
11,nospam
12,nospam
13,nospam
14,nospam
15,nospam
16,nospam
17,nospam
18,nospam
19,nospam
20,nospam
21,nospam
22,nospam
23,nospam
24,nospam
25,nospam
26,nospam
27,nospam
28,nospam
29,nospam
30,nospam
31,nospam
32,nospam
33,nospam
34,nospam
35,nospam
36,nospam
37,nospam
38,nospam
39,nospam
40,nospam
41,spam
42,nospam
43,nospam
44,nospam
45,nospam
46,nospam
47,nospam
48,nospam
49,spam
50,spam
51,spam
52,spam
53,spam
54,spam
55,spam
56,spam
57,nospam
58,nospam
59,spam
60,spam
61,spam
62,nospam
63,spam
64,nospam
65,spam
66,nospam
67,nospam
68,spam
69,spam
70,spam
71,spam
72,spam
73,spam
74,spam
75,nospam
76,nospam
77,nospam
